date,firm_id,equity_vol
2020-01-02,AAPL,0.4678
2020-01-03,AAPL,0.4678
2020-01-06,AAPL,0.4678
2020-01-07,AAPL,0.4678
2020-01-08,AAPL,0.4678
2020-01-09,AAPL,0.4678
2020-01-10,AAPL,0.4678
2020-01-13,AAPL,0.4678
2020-01-14,AAPL,0.4678
2020-01-15,AAPL,0.4678
2020-01-16,AAPL,0.4678
2020-01-17,AAPL,0.4678
2020-01-21,AAPL,0.4678
2020-01-22,AAPL,0.4678
2020-01-23,AAPL,0.4678
2020-01-24,AAPL,0.4678
2020-01-27,AAPL,0.4678
2020-01-28,AAPL,0.4678
2020-01-29,AAPL,0.4678
2020-01-30,AAPL,0.4678
2020-01-31,AAPL,0.4678
2020-02-03,AAPL,0.4678
2020-02-04,AAPL,0.4678
2020-02-05,AAPL,0.4678
2020-02-06,AAPL,0.4678
2020-02-07,AAPL,0.4678
2020-02-10,AAPL,0.4678
2020-02-11,AAPL,0.4678
2020-02-12,AAPL,0.4678
2020-02-13,AAPL,0.4678
2020-02-14,AAPL,0.2622
2020-02-18,AAPL,0.2669
2020-02-19,AAPL,0.2687
2020-02-20,AAPL,0.2705
2020-02-21,AAPL,0.2769
2020-02-24,AAPL,0.3042
2020-02-25,AAPL,0.3186
2020-02-26,AAPL,0.3154
2020-02-27,AAPL,0.3634
2020-02-28,AAPL,0.3636
2020-03-02,AAPL,0.4581
2020-03-03,AAPL,0.4648
2020-03-04,AAPL,0.4859
2020-03-05,AAPL,0.4941
2020-03-06,AAPL,0.4946
2020-03-09,AAPL,0.5419
2020-03-10,AAPL,0.581
2020-03-11,AAPL,0.5812
2020-03-12,AAPL,0.6374
2020-03-13,AAPL,0.7373
2020-03-16,AAPL,0.8139
2020-03-17,AAPL,0.8271
2020-03-18,AAPL,0.8207
2020-03-19,AAPL,0.8194
2020-03-20,AAPL,0.8329
2020-03-23,AAPL,0.8334
2020-03-24,AAPL,0.8925
2020-03-25,AAPL,0.8925
2020-03-26,AAPL,0.9051
2020-03-27,AAPL,0.9108
